epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.828,0.81072,21.0906,0.01065,0.65423,0.11738,0.12236,0.09675,0.50373,10.9561,0.0079,0.00023839,0.00023839,0.00023839
2,96.2362,0.60137,9.27073,0.00528,0.13959,0.40847,0.34422,0.30862,0.50569,3.52162,0.00798,0.000474877,0.000474877,0.000474877
3,128.642,0.72751,4.66279,0.00694,0.65075,0.54399,0.6643,0.54264,0.76318,1.58106,0.01133,0.00070162,0.00070162,0.00070162
4,160.816,0.77086,2.86881,0.0062,0.70629,0.67216,0.77792,0.66259,0.64058,1.10132,0.00977,0.000723321,0.000723321,0.000723321
5,192.011,0.65308,2.25663,0.00621,0.64105,0.72513,0.71912,0.6311,0.6069,1.06114,0.00762,0.000708095,0.000708095,0.000708095
6,223.237,0.70648,1.83951,0.00611,0.78201,0.6145,0.82236,0.7171,0.59879,1.05961,0.01123,0.000692869,0.000692869,0.000692869
7,253.467,0.67888,1.61272,0.00561,0.73331,0.83375,0.87653,0.77171,0.57274,0.82572,0.00915,0.000677643,0.000677643,0.000677643
8,285.491,0.66407,1.51149,0.0055,0.6314,0.81199,0.85289,0.75406,0.58454,0.83323,0.00892,0.000662417,0.000662417,0.000662417
9,316.617,0.64997,1.29523,0.00531,0.80927,0.71016,0.88857,0.7892,0.57469,0.78571,0.00794,0.00064719,0.00064719,0.00064719
10,347.983,0.61771,1.27306,0.00491,0.89425,0.71988,0.88176,0.80802,0.52833,0.59056,0.00734,0.000631964,0.000631964,0.000631964
11,378.673,0.61031,1.13067,0.00477,0.84409,0.8143,0.91728,0.81609,0.51964,0.60997,0.00583,0.000616738,0.000616738,0.000616738
12,409.493,0.63655,1.10697,0.00563,0.86559,0.78144,0.89355,0.82755,0.48838,0.62013,0.00571,0.000601512,0.000601512,0.000601512
13,441.148,0.57873,0.94817,0.00489,0.75351,0.90724,0.91129,0.82605,0.49519,0.52767,0.00549,0.000586286,0.000586286,0.000586286
14,471.735,0.57526,1.00996,0.00469,0.77814,0.73383,0.86684,0.7931,0.49029,0.62258,0.00786,0.000571059,0.000571059,0.000571059
15,502.915,0.55756,0.92285,0.00445,0.67649,0.78119,0.80054,0.75423,0.488,0.7772,0.00605,0.000555833,0.000555833,0.000555833
16,533.913,0.5568,0.97047,0.00464,0.82987,0.73112,0.86459,0.80791,0.42825,0.60272,0.00509,0.000540607,0.000540607,0.000540607
17,564.89,0.54002,0.86254,0.00451,0.67233,0.81064,0.84165,0.77762,0.47106,0.58645,0.0078,0.000525381,0.000525381,0.000525381
18,595.318,0.56603,0.93001,0.00504,0.79954,0.84614,0.89563,0.83236,0.41716,0.45715,0.00479,0.000510155,0.000510155,0.000510155
19,627.309,0.51009,0.89865,0.00423,0.79883,0.903,0.91401,0.87384,0.34771,0.44219,0.00497,0.000494928,0.000494928,0.000494928
